Wall time,Step,Value
1685334230.8161757,296599,143.0
1685334237.762196,296799,143.0
1685334250.2975757,297149,143.0
1685334252.0335424,297199,143.0
1685334333.6734848,297849,144.0
1685334335.4095008,297899,144.0
1685334342.325367,298099,144.0
1685334349.2562103,298299,144.0
1685334361.5385697,298649,144.0
1685334374.1969645,298999,144.0
1685334475.5061908,300199,145.0
1685334493.4019735,300699,145.0
1685334496.8720412,300799,145.0
1685334505.498524,301049,145.0
1685334508.9272003,301149,145.0
1685334522.782766,301549,145.0
1685334581.7322795,301649,146.0
1685334606.3392866,302349,146.0
1685334628.9835348,302999,146.0
1685334630.7188067,303049,146.0
1685334637.6843517,303249,146.0
1685334639.416376,303299,146.0
1685334718.3870208,303899,147.0
1685334738.015512,304449,147.0
1685334739.7688339,304499,147.0
1685334829.6698387,305449,148.0
1685334985.523581,308199,149.0
1685334994.1939263,308449,149.0
1685334995.9430594,308499,149.0
1685335079.1308181,309199,150.0
1685335103.9860399,309899,150.0
1685335140.3919325,310949,150.0
1685335224.6264465,311699,151.0
1685335252.327959,312499,151.0
1685335259.2663848,312699,151.0
1685335338.1919918,313349,152.0
1685335346.876821,313599,152.0
1685335348.5916872,313649,152.0
1685335350.3065991,313699,152.0
1685335353.7619689,313799,152.0
1685335369.4015918,314249,152.0
1685335378.0819535,314499,152.0
1685335470.4565735,315449,153.0
1685335479.1228025,315699,153.0
1685335486.0745826,315899,153.0
1685335514.5066903,316699,153.0
1685335624.0861063,318149,154.0
1685335629.2885475,318299,154.0
1685335650.1700459,318899,154.0
1685335808.1066875,321749,155.0
1685335879.6612914,322149,156.0
1685335886.6322553,322349,156.0
1685335914.3738928,323149,156.0
1685335933.6100612,323699,156.0
1685335935.3342507,323749,156.0
1685336014.6863668,324349,157.0
1685336019.9061284,324499,157.0
1685336026.8624296,324699,157.0
1685336032.070193,324849,157.0
1685336067.2743914,325849,157.0
1685336146.6262903,326499,158.0
1685336148.3583865,326549,158.0
1685336164.4929893,326999,158.0
1685336169.7242012,327149,158.0
1685336174.933171,327299,158.0
1685336183.5838666,327549,158.0
1685336187.0576246,327649,158.0
1685336262.2294192,328299,159.0
1685336274.3005702,328649,159.0
1685336281.2529302,328849,159.0
1685336290.274245,329099,159.0
1685336424.55893,330949,160.0
1685336452.3344173,331749,160.0
1685336455.7777243,331849,160.0
1685336464.7498863,332099,160.0
1685336476.9135258,332449,160.0
1685336563.4020321,333099,161.0
1685336589.926826,333849,161.0
1685336591.6655712,333899,161.0
1685336602.1438365,334199,161.0
1685336619.5145388,334699,161.0
1685336628.1772099,334949,161.0
1685336631.6058648,335049,161.0
1685336708.168225,335649,162.0
1685336718.6740482,335949,162.0
1685336736.2134387,336449,162.0
1685336737.9614584,336499,162.0
1685336817.804273,337149,163.0
1685336950.988459,339199,164.0
1685336968.429826,339699,164.0
1685337008.945587,340849,164.0
1685337151.446013,343044,165.0
1685337215.6120083,343499,166.0
1685337231.1479924,343949,166.0
1685337236.3995717,344099,166.0
1685337252.5714927,344549,166.0
1685337256.0288692,344649,166.0
1685337264.6855261,344899,166.0
1685337409.3545501,347129,167.0
1685337474.53129,347699,168.0
1685337490.661749,348149,168.0
1685337520.1439254,348999,168.0
1685337521.8747404,349049,168.0
1685337523.6139188,349099,168.0
1685337586.9782386,349449,169.0
1685337597.411829,349749,169.0
1685337649.6883578,350953,169.0
1685337704.7120764,351249,170.0
1685337718.5671098,351649,170.0
1685337720.3138418,351699,170.0
1685337727.6684446,351899,170.0
1685337731.1538582,351999,170.0
1685337736.3935616,352149,170.0
1685337745.0929227,352399,170.0
1685337772.8048193,352896,170.0
